GPS_X	|	GPS_Y		|	Euler_phi		|	Euler_psi		|	Euler_theta	|	Acc_forward	|	Acc_sideways	|	Acc_up	|	Gyro 1	|	Gyro 2	|	Gyro 3	|	Mag_forward	|	Mag_sideways	|	Mag_up	|	Music_Track
428.0	|	275.0	|	2.971218395	|	5.122894306	|	-14.57369216	|	-0.865	|	-0.179	|	0.785	|	-3.771	|	9.113	|	9.113	|	0.847	|	0.169	|	0.345	|	0.0
427.0	|	275.0	|	2.939723587	|	5.190729192	|	-14.54305939	|	-0.922	|	-0.241	|	0.752	|	-4.875	|	6.981	|	6.981	|	0.835	|	0.19	|	0.378	|	0.0
428.0	|	275.0	|	2.91517929	|	5.234892055	|	-14.53821231	|	-0.953	|	-0.284	|	0.736	|	-2.177	|	0.712	|	0.712	|	0.826	|	0.182	|	0.344	|	0.0
428.0	|	275.0	|	2.890658774	|	5.254644467	|	-14.55850713	|	-0.912	|	-0.277	|	0.742	|	-1.318	|	-5.745	|	-5.745	|	0.832	|	0.159	|	0.375	|	0.0
428.0	|	276.0	|	2.869390232	|	5.254825541	|	-14.60242993	|	-0.896	|	-0.219	|	0.761	|	-0.644	|	-11.324	|	-11.324	|	0.85	|	0.18	|	0.342	|	0.0
428.0	|	276.0	|	2.848196701	|	5.254529792	|	-14.6453477	|	-0.877	|	-0.135	|	0.758	|	-1.38	|	-11.638	|	-11.638	|	0.843	|	0.149	|	0.384	|	0.0
427.0	|	276.0	|	2.817624507	|	5.260169936	|	-14.6829146	|	-0.84	|	-0.119	|	0.727	|	-4.2	|	-10.133	|	-10.133	|	0.838	|	0.164	|	0.345	|	0.0
427.0	|	276.0	|	2.772183877	|	5.26561644	|	-14.72035556	|	-0.839	|	-0.164	|	0.715	|	-7.389	|	-10.008	|	-10.008	|	0.841	|	0.167	|	0.38	|	0.0
427.0	|	277.0	|	2.724634035	|	5.263008041	|	-14.76725335	|	-0.829	|	-0.211	|	0.709	|	-7.205	|	-12.014	|	-12.014	|	0.838	|	0.183	|	0.356	|	0.0
426.0	|	277.0	|	2.676594183	|	5.250392117	|	-14.82340805	|	-0.811	|	-0.227	|	0.705	|	-6.715	|	-14.521	|	-14.521	|	0.821	|	0.162	|	0.37	|	0.0
423.0	|	276.0	|	2.624308439	|	5.239993211	|	-14.87820072	|	-0.789	|	-0.197	|	0.705	|	-8.248	|	-14.082	|	-14.082	|	0.852	|	0.18	|	0.342	|	0.0
423.0	|	276.0	|	2.568385465	|	5.230347246	|	-14.93102162	|	-0.789	|	-0.147	|	0.683	|	-9.781	|	-14.02	|	-14.02	|	0.847	|	0.156	|	0.363	|	0.0
